Date,GDP
2016-02-01,100.13051576749
2016-03-01,100.075637898099
2016-04-01,100.023680846111
2016-05-01,99.9780108401378
2016-06-01,99.9418840399538
2016-07-01,99.9156566557469
2016-08-01,99.8980374408663
2016-09-01,99.8865937604708
2016-10-01,99.8776065059719
2016-11-01,99.8672321559162
2016-12-01,99.8524502796895
2017-01-01,99.8320723168577
2017-02-01,99.8068166149213
2017-03-01,99.779750077645
2017-04-01,99.7570452457466
2017-05-01,99.7460900574216
2017-06-01,99.7532704017856
2017-07-01,99.7808911609699
2017-08-01,99.828919306482
2017-09-01,99.895206875511
2017-10-01,99.974196323801
2017-11-01,100.058973554239
2017-12-01,100.142354524878
2018-01-01,100.217506173388
2018-02-01,100.278314232366
2018-03-01,100.32029351122
2018-04-01,100.342477664622
